Dimension,country_code,country_name,ParentDimension,ParentCode,ParentTitle
,LAC,Latin America & Caribbean (excluding high income),,,
COUNTRY,LAO,Lao People's Democratic Republic,REGION,WPR,Western Pacific
COUNTRY,LBN,Lebanon,REGION,EMR,Eastern Mediterranean
COUNTRY,LCA,Saint Lucia,REGION,AMR,Americas
,LCN,Latin America & Caribbean,,,
,LDC,Least developed countries: UN classification,,,
,LIC,Low income,,,
COUNTRY,LKA,Sri Lanka,REGION,SEAR,South-East Asia
,LMC,Lower middle income,,,
,LMY,Low & middle income,,,
COUNTRY,LSO,Lesotho,REGION,AFR,Africa
,LTE,Late-demographic dividend,,,
COUNTRY,LUX,Luxembourg,REGION,EUR,Europe
COUNTRY,MAC,"China, Macao Special Administrative Region",,,
COUNTRY,MAR,Morocco,REGION,EMR,Eastern Mediterranean
COUNTRY,MDG,Madagascar,REGION,AFR,Africa
,MEA,Middle East & North Africa,,,
COUNTRY,MEX,Mexico,REGION,AMR,Americas
COUNTRY,MHL,Marshall Islands,REGION,WPR,Western Pacific
,MIC,Middle income,,,
COUNTRY,MKD,North Macedonia,REGION,EUR,Europe
COUNTRY,MLI,Mali,REGION,AFR,Africa
COUNTRY,MLT,Malta,REGION,EUR,Europe
COUNTRY,MMR,Myanmar,REGION,SEAR,South-East Asia
,MNA,Middle East & North Africa (excluding high income),,,
COUNTRY,MNG,Mongolia,REGION,WPR,Western Pacific
COUNTRY,MRT,Mauritania,REGION,AFR,Africa
COUNTRY,MUS,Mauritius,REGION,AFR,Africa
COUNTRY,MWI,Malawi,REGION,AFR,Africa
COUNTRY,MYS,Malaysia,REGION,WPR,Western Pacific
,NAC,North America,,,
COUNTRY,NAM,Namibia,REGION,AFR,Africa
COUNTRY,NER,Niger,REGION,AFR,Africa
COUNTRY,NGA,Nigeria,REGION,AFR,Africa
COUNTRY,NIC,Nicaragua,REGION,AMR,Americas
COUNTRY,NLD,Netherlands,REGION,EUR,Europe
COUNTRY,NOR,Norway,REGION,EUR,Europe
COUNTRY,NPL,Nepal,REGION,SEAR,South-East Asia
COUNTRY,NZL,New Zealand,REGION,WPR,Western Pacific
,OED,OECD members,,,
COUNTRY,OMN,Oman,REGION,EMR,Eastern Mediterranean
COUNTRY,PAK,Pakistan,REGION,EMR,Eastern Mediterranean
COUNTRY,PAN,Panama,REGION,AMR,Americas
COUNTRY,PER,Peru,REGION,AMR,Americas
COUNTRY,PHL,Philippines,REGION,WPR,Western Pacific
COUNTRY,PNG,Papua New Guinea,REGION,WPR,Western Pacific
COUNTRY,POL,Poland,REGION,EUR,Europe
,PRE,Pre-demographic dividend,,,
COUNTRY,PRI,Puerto Rico,REGION,AMR,Americas
COUNTRY,PRT,Portugal,REGION,EUR,Europe
COUNTRY,PRY,Paraguay,REGION,AMR,Americas
,PSS,Pacific island small states,,,
,PST,Post-demographic dividend,,,
COUNTRY,ROU,Romania,REGION,EUR,Europe
COUNTRY,RUS,Russian Federation,REGION,EUR,Europe
COUNTRY,RWA,Rwanda,REGION,AFR,Africa
,SAS,South Asia,,,
COUNTRY,SAU,Saudi Arabia,REGION,EMR,Eastern Mediterranean
COUNTRY,SDN,Sudan,REGION,EMR,Eastern Mediterranean
COUNTRY,SEN,Senegal,REGION,AFR,Africa
COUNTRY,SGP,Singapore,REGION,WPR,Western Pacific
COUNTRY,SLB,Solomon Islands,REGION,WPR,Western Pacific
COUNTRY,SLE,Sierra Leone,REGION,AFR,Africa
COUNTRY,SLV,El Salvador,REGION,AMR,Americas
,SSA,Sub-Saharan Africa (excluding high income),,,
,SSF,Sub-Saharan Africa,,,
COUNTRY,SUR,Suriname,REGION,AMR,Americas
COUNTRY,SWE,Sweden,REGION,EUR,Europe
COUNTRY,SWZ,Eswatini,REGION,AFR,Africa
COUNTRY,SYC,Seychelles,REGION,AFR,Africa
COUNTRY,TCD,Chad,REGION,AFR,Africa
,TEA,East Asia & Pacific (IDA & IBRD countries),,,
,TEC,Europe & Central Asia (IDA & IBRD countries),,,
COUNTRY,TGO,Togo,REGION,AFR,Africa
COUNTRY,THA,Thailand,REGION,SEAR,South-East Asia
COUNTRY,TJK,Tajikistan,REGION,EUR,Europe
COUNTRY,TKM,Turkmenistan,REGION,EUR,Europe
,TLA,Latin America & the Caribbean (IDA & IBRD countries),,,
,TMN,Middle East & North Africa (IDA & IBRD countries),,,
COUNTRY,TON,Tonga,REGION,WPR,Western Pacific
,TSA,South Asia (IDA & IBRD),,,
,TSS,Sub-Saharan Africa (IDA & IBRD countries),,,
COUNTRY,TTO,Trinidad and Tobago,REGION,AMR,Americas
COUNTRY,TUN,Tunisia,REGION,EMR,Eastern Mediterranean
COUNTRY,TUR,Türkiye,REGION,EUR,Europe
COUNTRY,TUV,Tuvalu,REGION,WPR,Western Pacific
COUNTRY,TZA,United Republic of Tanzania,REGION,AFR,Africa
COUNTRY,UGA,Uganda,REGION,AFR,Africa
COUNTRY,UKR,Ukraine,REGION,EUR,Europe
,UMC,Upper middle income,,,
COUNTRY,URY,Uruguay,REGION,AMR,Americas
COUNTRY,USA,United States of America,REGION,AMR,Americas
COUNTRY,UZB,Uzbekistan,REGION,EUR,Europe
COUNTRY,VCT,Saint Vincent and the Grenadines,REGION,AMR,Americas
COUNTRY,VEN,Venezuela (Bolivarian Republic of),REGION,AMR,Americas
COUNTRY,VNM,Viet Nam,REGION,WPR,Western Pacific
COUNTRY,VUT,Vanuatu,REGION,WPR,Western Pacific
,WLD,World,,,
COUNTRY,WSM,Samoa,REGION,WPR,Western Pacific
COUNTRY,YEM,Yemen,REGION,EMR,Eastern Mediterranean
COUNTRY,ZAF,South Africa,REGION,AFR,Africa
COUNTRY,ZMB,Zambia,REGION,AFR,Africa
COUNTRY,ZWE,Zimbabwe,REGION,AFR,Africa
COUNTRY,HUN,Hungary,REGION,EUR,Europe
COUNTRY,IRQ,Iraq,REGION,EMR,Eastern Mediterranean
COUNTRY,MOZ,Mozambique,REGION,AFR,Africa
COUNTRY,ERI,Eritrea,REGION,AFR,Africa
COUNTRY,SVK,Slovakia,REGION,EUR,Europe
COUNTRY,KHM,Cambodia,REGION,WPR,Western Pacific
COUNTRY,BIH,Bosnia and Herzegovina,REGION,EUR,Europe
COUNTRY,PSE,"occupied Palestinian territory, including east Jerusalem",REGION,EMR,Eastern Mediterranean
COUNTRY,EST,Estonia,REGION,EUR,Europe
COUNTRY,HRV,Croatia,REGION,EUR,Europe
COUNTRY,ISL,Iceland,REGION,EUR,Europe
COUNTRY,ISR,Israel,REGION,EUR,Europe
COUNTRY,KWT,Kuwait,REGION,EMR,Eastern Mediterranean
COUNTRY,LTU,Lithuania,REGION,EUR,Europe
COUNTRY,LVA,Latvia,REGION,EUR,Europe
COUNTRY,MDA,Republic of Moldova,REGION,EUR,Europe
COUNTRY,MDV,Maldives,REGION,SEAR,South-East Asia
COUNTRY,SRB,Serbia,REGION,EUR,Europe
COUNTRY,SVN,Slovenia,REGION,EUR,Europe
COUNTRY,CAN,Canada,REGION,AMR,Americas
COUNTRY,SMR,San Marino,REGION,EUR,Europe
COUNTRY,LBY,Libya,REGION,EMR,Eastern Mediterranean
COUNTRY,CUW,Curaçao,REGION,AMR,Americas
COUNTRY,LBR,Liberia,REGION,AFR,Africa
COUNTRY,MNE,Montenegro,REGION,EUR,Europe
,OSS,Other small states,,,
COUNTRY,PLW,Palau,REGION,WPR,Western Pacific
COUNTRY,QAT,Qatar,REGION,EMR,Eastern Mediterranean
,SST,Small states,,,
COUNTRY,TLS,Timor-Leste,REGION,SEAR,South-East Asia
COUNTRY,STP,Sao Tome and Principe,REGION,AFR,Africa
COUNTRY,AFG,Afghanistan,REGION,EMR,Eastern Mediterranean
COUNTRY,NRU,Nauru,REGION,WPR,Western Pacific
COUNTRY,CYM,Cayman Islands,REGION,AMR,Americas
COUNTRY,SSD,South Sudan,REGION,AFR,Africa
,XKX,Kosovo,,,
COUNTRY,SXM,Sint Maarten (Dutch part),REGION,AMR,Americas
COUNTRY,TCA,Turks and Caicos Islands,REGION,AMR,Americas
COUNTRY,DJI,Djibouti,REGION,EMR,Eastern Mediterranean
COUNTRY,SOM,Somalia,REGION,EMR,Eastern Mediterranean
COUNTRY,AIA,Anguilla,REGION,AMR,Americas
COUNTRY,AND,Andorra,REGION,EUR,Europe
COUNTRY,ANT530,SPATIAL_SYNONYM,REGION,AMR,Americas
COUNTRY,ANT532,SPATIAL_SYNONYM,REGION,AMR,Americas
COUNTRY,ASM,American Samoa,REGION,WPR,Western Pacific
COUNTRY,CHI,Channel islands,,,
COUNTRY,COK,Cook Islands,REGION,WPR,Western Pacific
COUNTRY,CSK200,SPATIAL_SYNONYM,REGION,EUR,Europe
COUNTRY,CUB,Cuba,REGION,AMR,Americas
COUNTRY,DDR278,SPATIAL_SYNONYM,REGION,EUR,Europe
COUNTRY,DEU280,SPATIAL_SYNONYM,REGION,EUR,Europe
COUNTRY,DEU284,SPATIAL_SYNONYM,REGION,EUR,Europe
COUNTRY,FLK,Falkland Islands (Malvinas),REGION,AMR,Americas
COUNTRY,FRO,Faroe Islands,REGION,EUR,Europe
COUNTRY,GIB,Gibraltar,REGION,EUR,Europe
COUNTRY,GLP,Guadeloupe,REGION,AMR,Americas
COUNTRY,GLP312,SPATIAL_SYNONYM,REGION,AMR,Americas
COUNTRY,GRL,Greenland,REGION,EUR,Europe
COUNTRY,GUF,French Guiana,REGION,AMR,Americas
COUNTRY,GUM,Guam,REGION,WPR,Western Pacific
COUNTRY,IMN,Isle of Man,REGION,EUR,Europe
COUNTRY,IND975,SPATIAL_SYNONYM,REGION,SEAR,South-East Asia
COUNTRY,KIR984,SPATIAL_SYNONYM,REGION,WPR,Western Pacific
COUNTRY,LIE,Liechtenstein,REGION,EUR,Europe
COUNTRY,MCO,Monaco,REGION,EUR,Europe
COUNTRY,ME1,The former state union Serbia and Montenegro,,,
COUNTRY,MNP,Northern Mariana Islands,REGION,WPR,Western Pacific
COUNTRY,MTQ,Martinique,REGION,AMR,Americas
COUNTRY,MYT,Mayotte,REGION,AFR,Africa
COUNTRY,NCL,New Caledonia,REGION,WPR,Western Pacific
COUNTRY,NIU,Niue,REGION,WPR,Western Pacific
COUNTRY,PRK,Democratic People's Republic of Korea,REGION,SEAR,South-East Asia
COUNTRY,PYF,French Polynesia,REGION,WPR,Western Pacific
COUNTRY,REU,Reunion,REGION,AFR,Africa
COUNTRY,SCG891,SPATIAL_SYNONYM,REGION,EUR,Europe
COUNTRY,SDF,Sudan (former),,,
COUNTRY,SDN736,SPATIAL_SYNONYM,REGION,EMR,Eastern Mediterranean
COUNTRY,SHN,Saint Helena,REGION,AFR,Africa
COUNTRY,SPM,Saint Pierre and Miquelon,REGION,AMR,Americas
COUNTRY,SUN810,SPATIAL_SYNONYM,REGION,EUR,Europe
COUNTRY,SYR,Syrian Arab Republic,REGION,EMR,Eastern Mediterranean
COUNTRY,TKL,Tokelau,REGION,WPR,Western Pacific
COUNTRY,VGB,British Virgin Islands,REGION,AMR,Americas
COUNTRY,VIR,Virgin Islands (USA),REGION,AMR,Americas
COUNTRY,VNM977,SPATIAL_SYNONYM,REGION,WPR,Western Pacific
COUNTRY,YEM886,SPATIAL_SYNONYM,REGION,EMR,Eastern Mediterranean
COUNTRY,YUG890,SPATIAL_SYNONYM,REGION,EUR,Europe
COUNTRY,YUG891,SPATIAL_SYNONYM,REGION,EUR,Europe
,ESH,WesternSahara,,,
,TWN,Taiwan,,,
